province;red;green;blue;x;x
1153;173;158;173;Pindinga;x
1154;45;32;32;Zazzau;x
1155;173;34;79;Kano;x
1156;46;36;126;Damagaram;x
1157;174;38;173;Damasak;x
1158;46;40;32;Kanem;x
1159;174;42;79;Bagirmi;x
1160;46;44;126;Bornu;x
1161;174;246;173;Bauchi;x
1162;46;48;32;Wukari;x
1163;175;50;79;Calabar;x
1164;47;52;126;Cameroon;x
1165;175;54;173;Gabon;x
1166;47;236;32;Loango;x
1167;175;58;79;Luanda;x
1168;206;217;77;Nsoyo;x
1169;175;62;173;Mayombe;x
1170;48;64;32;Kongo;x
1171;176;66;79;Ndongo;x
1172;48;68;126;Benguela;x
1173;176;70;173;Namibia;x
1174;48;172;32;Angra Pequena;x
1175;176;74;79;Lesser Namaqualand;x
1176;48;76;126;Roggeveld;x
1177;177;78;173;Cape;x
1178;49;80;32;Great Karoo;x
1179;177;82;79;Swellendam;x
1180;49;84;126;Transkei;x
1181;177;86;173;Natal;x
1182;49;88;32;Delagoa Bay;x
1183;177;90;79;Inhambane;x
1184;50;92;126;Zimbabwe;x
1185;178;94;173;Uteve;x
1186;50;96;32;Sofala;x
1187;178;98;79;Urungwe;x
1188;50;100;126;Tete;x
1189;178;202;173;Barwe;x
1190;50;104;32;Zumbo;x
1191;179;106;79;Sena;x
1192;51;108;126;Quelimane;x
1193;179;110;173;Menabe;x
1194;51;212;32;Besalampy;x
1195;179;114;79;Mozambique;x
1196;51;116;126;Kilwa;x
1197;179;118;173;Ujiji;x
1198;52;120;32;Tabora;x
1199;180;122;79;Bagamoyo;x
1200;52;124;126;Tanga;x
1201;180;126;173;Zanzibar;x
1202;52;128;32;Mombasa;x
1203;180;130;79;Malindi;x
1204;52;132;126;Chisimayo;x
1205;181;134;173;Mogadishu;x
1206;53;136;32;Mayertern;x
1207;181;138;79;Ogaden;x
1208;53;140;126;Haud;x
1209;181;142;173;Berbera;x
1210;53;144;32;Ifat;x
1211;181;146;79;Harer;x
1212;54;148;126;Zeila;x
1213;182;150;173;Shoa;x
1214;54;152;32;Awsa;x
1215;182;154;79;Tajura;x
1216;54;156;126;Dar Nuba;x
1217;182;158;173;Fazughli;x
1218;54;32;32;Kefa;x
1219;183;34;79;Kordofan;x
1220;55;36;126;Dar Ja'al;x
1221;183;38;173;Taqali;x
1222;55;40;32;Gezira;x
1223;183;42;79;Gojjam;x
1224;55;44;126;Gonder;x
1225;183;246;173;Butana;x
1226;56;48;32;Taka;x
1227;184;50;79;Tigre;x
1228;56;252;126;Dongola;x
1229;184;54;173;Berber;x
1230;56;56;32;Massawa;x
1231;184;58;79;Aswan;x
1232;56;60;126;Suakin;x
1233;185;62;173;Kharga;x
1234;57;164;32;Qasr Ibrim;x
1235;185;66;79;Guam;x
1236;57;68;126;Rabaul;x
1237;185;70;173;Papua;x
1238;57;172;32;Solomon Islands;x
1239;185;74;79;Vanuatu;x
1240;58;76;126;Hawaii;x
1241;186;78;173;Kiribati;x
1242;58;180;32;Fiji;x
1243;186;82;79;Samoa;x
1244;58;84;126;Tahiti;x
1245;186;86;173;Irian;x
1246;58;188;32;Aorangi;x
1247;187;90;79;Corsica;x
1248;59;92;126;Maldives;x
1249;187;94;173;Yola;x
1250;1;200;200;Vänern;x
1251;2;200;250;Vättern;x
1252;3;220;250;Gulf of Bothnia;x
1253;4;250;250;Ålands Hav;x
1254;5;200;200;Gulf of Finland;x
1255;6;200;250;Western Baltic Sea;x
1256;7;220;250;Gulf of Riga;x
1257;8;250;250;Southern Baltic Sea;x
1258;9;200;200;Öresund;x
1259;10;200;250;Kattegat;x
1260;11;220;250;Peipsi Järv;x
1261;12;250;250;Ladoga;x
1262;13;200;200;Onega;x
1263;14;200;250;Barents Sea;x
1264;15;220;250;Lofoten Sea;x
1265;16;250;250;Northern Norwegian Sea;x
1266;17;200;200;Southern Norwegian Sea;x
1267;18;200;250;Skagerrack;x
1268;19;220;250;Helgoland Bight;x
1269;20;250;250;Coast of Holland;x
1270;21;200;200;Dogger Bank;x
1271;22;200;250;Straits of Dover;x
1272;23;220;250;The Channel;x
1273;224;123;123;Taveta;x
1274;25;200;200;Coast of Britanny;x
1275;26;200;250;Quiberon Bay;x
1276;27;220;250;Cote D'Argent;x
1277;28;250;250;Bay of Biscay;x
1278;29;200;200;Cantabrian Sea;x
1279;30;200;250;Tyne;x
1280;31;220;250;Firth of Forth;x
1281;32;250;250;The North Sea;x
1282;33;200;200;Moray Firth;x
1283;34;200;250;North Channel;x
1284;35;220;250;Irish Sea;x
1285;36;250;250;St. George's Channel;x
1286;37;200;200;Donegal Bay;x
1287;38;200;250;Dingle Bay;x
1288;39;220;250;Celtic Sea;x
1289;40;250;250;Western Approaches;x
1290;41;200;200;Finisterre Bay;x
1291;42;200;250;Lusitanian Sea;x
1292;43;220;250;Gulf of Cadiz;x
1293;44;250;250;Straits of Gibraltar;x
1294;45;200;200;Gulf of Almeira;x
1295;46;200;250;Gulf of Valencia;x
1296;47;220;250;Gulf of Lion;x
1297;48;250;250;Cote D'Azur;x
1298;49;200;200;Ligurian Sea;x
1299;50;200;250;Shetland Straits;x
1300;51;220;250;Western Mediterranean;x
1301;52;250;250;Barbary Coast;x
1302;53;200;200;Cape Bon;x
1303;54;200;250;Tyrrenean Sea;x
1304;55;220;250;Bay of Naples;x
1305;56;250;250;Gulf of Gabes;x
1306;181;48;132;Sao Tome;x
1307;58;200;250;Straits of Messina;x
1308;59;220;250;Gulf of Venice;x
1309;60;250;250;Adriatic Sea;x
1310;61;200;200;Straits of Otranto;x
1311;62;200;250;Gulf of Taranto;x
1312;63;220;250;Ionian Sea;x
1313;64;250;250;Gulf of Sirte;x
1314;65;200;200;Gulf of Tobruk;x
1315;66;200;250;Bay of Alexandrian;x
1316;67;220;250;Palestinian Coast;x
1317;68;250;250;Gulf of Cyprus;x
1318;209;246;4;Spis;x
1319;70;200;250;Aegean Sea;x
1320;71;220;250;Sea of Marmara;x
1321;72;250;250;Gulf of Varna;x
1322;73;200;200;Gulf of Odessa;x
1323;74;200;250;Sea of Azov;x
1324;75;220;250;Eastern Black Sea;x
1325;76;250;250;Lake Balaton;x
1326;77;200;200;Caspian Sea;x
1327;78;200;250;Aral Sea;x
1328;79;220;250;Gulf of Suez;x
1329;80;250;250;Red Sea;x
1330;81;200;200;Straits of Obokk;x
1331;82;200;250;Bal el Mandeb;x
1332;83;220;250;Coast of Mascate;x
1333;84;250;250;Gulf of Masirah;x
1334;85;200;200;Straits of Hormuz;x
1335;86;200;250;Persian Gulf;x
1336;87;220;250;Gulf of Indus;x
1337;88;250;250;Gulf of Gujarat;x
1338;89;200;200;Laquedive Islands;x
1339;90;200;250;Coast of Malabar;x
1340;91;220;250;Comorin Cape;x
1341;92;250;250;Coast of Caramandel;x
1342;93;200;200;Coast of Orissa;x
1343;94;200;250;Ganges Delta;x
1344;95;220;250;Akyab Bay;x
1345;96;250;250;Irrawady Delta;x
1346;97;200;200;Andaman Sea;x
1347;98;200;250;Mergui Archipelago;x
1348;99;220;250;Straits of Malacca;x
1349;100;250;250;Nicobar Isles;x
1350;101;200;200;Coast of Atjeh;x
1351;102;200;250;Coast of Sumatra;x
1352;103;220;250;Christmas Island;x
1353;104;250;250;Coast of Java;x
1354;105;200;200;Coast of Surabaya;x
1355;106;200;250;Straits of Lombok;x
1356;107;220;250;Timor Sea;x
1357;108;250;250;The Moluccas;x
1358;109;200;200;Java Sea;x
1359;110;200;250;Straits of Makassar;x
1360;111;220;250;Karimata Strait;x
1361;112;250;250;Straits of Johore;x
1362;113;200;200;Malayan Sea;x
1363;114;200;250;Coast of Sarawk;x
1364;115;220;250;Mekong Delta;x
1365;116;250;250;Gulf of Siam;x
1366;117;200;200;Cam Rah Bay;x
1367;118;200;250;South China Sea;x
1368;119;220;250;Coast of Brunei;x
1369;120;250;250;Coast of Annam;x
1370;121;200;200;Gulf of Tonkin;x
1371;122;200;250;Guanghou Bay;x
1372;123;220;250;Taiwan Strait;x
1373;124;250;250;Yang Tse Delta;x
1374;125;200;200;Western Yellow Sea;x
1375;126;200;250;Korea Bay;x
1376;127;220;250;South Korean Sea;x
1377;0;251;251;North Korean Sea;x
1378;1;201;201;Coast of Olga;x
1379;2;201;251;Tatar Straits;x
1380;3;221;251;Amur Delta;x
1381;4;251;251;Baj of Ayan;x
1382;5;201;201;Bay of Komenskoie;x
1383;6;201;251;Coast of Kamchatska;x
1384;7;221;251;Oktothsk Sea;x
1385;8;251;251;Coast Sahkalin;x
1386;9;201;201;Soya Strait;x
1387;10;201;251;Tsugaru Strait;x
1388;11;221;251;Yamato Basin;x
1389;12;251;251;Amakusa Sea;x
1390;13;201;201;Setto Inland Sea;x
1391;14;201;251;Kii Channel;x
1392;15;221;251;Ryukyu Islands;x
1393;16;251;251;Luzon Strait;x
1394;17;201;201;Paracel Islands;x
1395;18;201;251;Manila Bay;x
1396;19;221;251;Coast of Luzon;x
1397;20;251;251;Gulf of Leyte;x
1398;21;201;201;Sulu Sea;x
1399;22;201;251;Sea of Celebes;x
1400;23;221;251;Sea of Ternete;x
1401;24;251;251;Sea of Banda;x
1402;25;201;201;Philipine Sea;x
1403;26;201;251;Palau Islands;x
1404;27;221;251;Biak Bay;x
1405;28;251;251;Vilian Strait;x
1406;29;201;201;Trobrian Islands;x
1407;30;201;251;Torres Strait;x
1408;31;221;251;Arafuam Sea;x
1409;32;251;251;Kolepom Bay;x
1410;33;201;201;Gulf of Carpentaria;x
1411;34;201;251;Great Barrier Reef;x
1412;35;221;251;Capricorn Bay;x
1413;36;251;251;Cape Howe;x
1414;37;201;201;Bass Strait;x
1415;38;201;251;Kangaroo Island;x
1416;39;221;251;Great Australian Bight;x
1417;40;251;251;Cape Leuwiin;x
1418;41;201;201;Shark Bay;x
1419;42;201;251;Northwest Cape;x
1420;43;221;251;King Sound;x
1421;44;251;251;Tasman Sea;x
1422;45;201;201;Southern Tasman Sea;x
1423;46;201;251;Cook Strait;x
1424;47;221;251;Northern Tasman Sea;x
1425;48;251;251;Cape Farwell;x
1426;49;201;201;Coast of New Zealand;x
1427;50;201;251;Cantebury Bight;x
1428;51;221;251;Sea of Antarctica;x
1429;52;251;251;New Caledonian Sea;x
1430;53;201;201;Coral Sea;x
1431;54;201;251;Gilbert Sea;x
1432;55;221;251;Solomon Sea;x
1433;56;251;251;Nauru Island;x
1434;57;201;201;Melanesia Sea;x
1435;58;201;251;Micronesia Sea;x
1436;59;221;251;Yap Islands;x
1437;60;251;251;Mariana Islands;x
1438;61;201;201;Tinian Sea;x
1439;62;201;251;Iwo Jima Sea;x
1440;63;221;251;Sanriku Coast;x
1441;64;251;251;The Kuriles;x
1442;65;201;201;Bay of Uka;x
1443;66;201;251;Bay of Oljut;x
1444;67;221;251;Bay of Anadyr;x
1445;68;251;251;Bering Sea;x
1446;69;201;201;Horn of Africa;x
1447;70;201;251;Coast of Pepper;x
1448;71;221;251;Zanzibar Strait;x
1449;72;251;251;Mozambique Channel;x
1450;73;201;201;Diego Suarez Bay;x
1451;74;201;251;Western Arabian Sea;x
1452;75;221;251;Eastern Arabian Sea;x
1453;76;251;251;The Seychelles;x
1454;77;201;201;Coast of Tamatave;x
1455;78;201;251;The Mascareignes;x
1456;79;221;251;Gulf of Zambeze;x
1457;80;251;251;Coast of Natal;x
1458;81;201;201;Coast of Transkei;x
1459;82;201;251;Coast of Ciskei;x
1460;83;221;251;Cape of Good Hope;x
1461;84;251;251;Coast of Namibia;x
1462;85;201;201;Coast of Angola;x
1463;86;201;251;Gulf of Kongo;x
1464;87;221;251;Coast of Cameroon;x
1465;88;251;251;Gulf of Nigeria;x
1466;89;201;201;Ivory Coast;x
1467;90;201;251;Gold Coast;x
1468;91;221;251;Coast of Gamvia;x
1469;92;251;251;Coast of Guinea;x
1470;93;201;201;Maueretanian Coast;x
1471;94;201;251;Canarian Sea;x
1472;95;221;251;Coast of Morocco;x
1473;96;251;251;Jan Mayen Sea;x
1474;97;201;201;Spitzberg Sea;x
1475;98;201;251;Icelandic Sea;x
1476;99;221;251;Eastern Coast of Iceland;x
1477;100;251;251;Western Coast of Iceland;x
1478;101;201;201;Northeastern Atlantic;x
1479;102;201;251;Rockall;x
1480;103;221;251;Denmark Strait;x
1481;104;251;251;Eastern Coast of Greenland;x
1482;105;201;201;Western Coast of Greenland;x
1483;106;201;251;Labrador Strait;x
1484;107;221;251;Baffin Bay;x
1485;108;251;251;Hudson Straits;x
1486;109;201;201;James Bay;x
1487;110;201;251;Western Hudson Bay;x
1488;111;221;251;Eastern Hudson Bay;x
1489;112;251;251;Foxe Bassin;x
1490;113;201;201;Gulf of St. Lawrence;x
1491;114;201;251;Cabot Strait;x
1492;115;221;251;Bay of Fundy;x
1493;116;251;251;Strait of Belle Isle;x
1494;117;201;201;Fortune Bay;x
1495;118;201;251;Notre Dame Bay;x
1496;119;221;251;Labrador Sea;x
1497;120;251;251;Greenland Sea;x
1498;121;201;201;Northern Atlantic;x
1499;122;201;251;Masschusetts Bay;x
1500;123;221;251;Chesapaeake Bay;x
1501;124;251;251;Cape Hatteras;x
1502;125;201;201;Coast of Carolina;x
1503;126;201;251;Coast of Florida;x
1504;127;221;251;Sea of Sargassos;x
1505;0;252;252;Florida Straits;x
1506;1;202;202;Apalachee Bay;x
1507;2;202;252;Mobile Bay;x
1508;3;222;252;Galveston Bay;x
1509;4;252;252;Tampico Bay;x
1510;5;202;202;Yucatan Sea;x
1511;6;202;252;Gulf of Mexico;x
1512;7;222;252;Yucatan Channel;x
1513;8;252;252;Belize Bay;x
1514;9;202;202;Moscitos Coast;x
1515;10;202;252;Gulf of Darien;x
1516;11;222;252;Jamica Channel;x
1517;12;252;252;Central Carribean;x
1518;13;202;202;Northwestern Carribean;x
1519;14;202;252;Venezualan Gulf;x
1520;15;222;252;Venezuelan Sea;x
1521;16;252;252;Eastern Carribean;x
1522;17;202;202;Windward Islands;x
1523;18;202;252;Lesser Antilles;x
1524;19;222;252;Turks & Caicos Sea;x
1525;20;252;252;Coast of Cuba;x
1526;21;202;202;Coast of Hispaniola;x
1527;22;202;252;Guyana Coast;x
1528;23;222;252;Bay of Belem;x
1529;24;252;252;Amazonas Gulf;x
1530;25;202;202;Coast of Brazil;x
1531;26;202;252;Coast of Recife;x
1532;27;222;252;Coast of Pernambuc;x
1533;28;252;252;Todos Santos Bay;x
1534;29;202;202;Rio De Janeiro;x
1535;30;202;252;Baia Parangua;x
1536;31;222;252;Rio De La Plata;x
1537;32;252;252;Bahia Blanca;x
1538;33;202;202;Coast of Patagonia;x
1539;34;202;252;Magellan Strait;x
1540;35;222;252;South Chilean Coast;x
1541;36;252;252;Coast of Chile;x
1542;37;202;202;Atacama Coast;x
1543;38;202;252;Arica Gulf;x
1544;39;222;252;Arequipa Bay;x
1545;40;252;252;Coast of Peru;x
1546;41;202;202;Guayaguil Bay;x
1547;42;202;252;Coast of Ecuador;x
1548;43;222;252;Gulf of Panama;x
1549;44;252;252;Bay of Costa Rica;x
1550;45;202;202;Acapulco Bay;x
1551;46;202;252;Manzazilla Bay;x
1552;47;222;252;Mazatlan Bay;x
1553;48;252;252;Gulf of California;x
1554;49;202;202;Coast of Baja;x
1555;50;202;252;Coast of California;x
1556;51;222;252;Santa Catalina Islands;x
1557;52;252;252;Coast of Oregon;x
1558;53;202;202;Coast of Columbia;x
1559;54;202;252;Hecate Strait;x
1560;55;222;252;Gulf of Alaska;x
1561;56;252;252;Coast of Alaska;x
1562;57;202;202;Kuskowim Bay;x
1563;58;202;252;Hatton Bank;x
1564;59;222;252;Eastern Gibbs Fracture;x
1565;60;252;252;Western Gibbs Fracture;x
1566;61;202;202;Iberian Shelf;x
1567;62;202;252;Sea of Azores;x
1568;63;222;252;Corner Seamounts;x
1569;64;252;252;New England Seamounts;x
1570;65;202;202;Sable Island Bank;x
1571;66;202;252;Blake Plataeu;x
1572;67;222;252;West Bermuda Sea;x
1573;68;252;252;East Bermuda Sea;x
1574;69;202;202;Some Funny Seaname;x
1575;70;202;252;Northern Guiana Basin;x
1576;71;222;252;Guiana Basin;x
1577;72;252;252;Southern Guiana Basin;x
1578;73;202;202;Canary Approach;x
1579;74;202;252;Cap Verde Approach;x
1580;75;222;252;Central Atlantic #1;x
1581;76;252;252;Central Atlantic #2;x
1582;77;202;202;Central Atlantic #3;x
1583;78;202;252;Central Atlantic #4;x
1584;79;222;252;Romanche Gap;x
1585;80;252;252;East Guinea Basin;x
1586;81;202;202;West Guinea Basin;x
1587;82;202;252;Coast of Falklands;x
1588;83;222;252;New Georgia Islands;x
1589;84;252;252;Western Atlantic #1;x
1590;85;202;202;Western Atlantic #2;x
1591;86;202;252;Western Atlantic #3;x
1592;87;222;252;Western Atlantic #4;x
1593;88;252;252;Western Atlantic #5;x
1594;89;202;202;Western Atlantic #6;x
1595;90;202;252;East of Magellans;x
1596;91;222;252;Central Atlantic #5;x
1597;92;252;252;Central Atlantic #6;x
1598;93;202;202;Central Atlantic #7;x
1599;94;202;252;Central Atlantic #8;x
1600;95;222;252;Eastern Atlantic #1;x
1601;96;252;252;Eastern Atlantic #2;x
1602;97;202;202;Eastern Atlantic #3;x
1603;98;202;252;Eastern Atlantic #4;x
1604;99;222;252;Eastern Atlantic #5;x